#metadataBlock	name	displayName												
	contributorLogo	Logo URL	If applicable, the logo url that points to this contributor's web accessible logo image. Enter an absolute URL where the contributor's logo image is found, e.g., http://www.my.org/images/logo.gif.		url	16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	contributor	citation
	productionDate	Production Date	Date when the data collection/other material(s) were produced (not distributed, released or archived).		date	17	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE		citation
	productionPlace	Production Place	The location where the data collection and any other related materials were produced.		text	18	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation
	grantNumber	Grant Information	Grant Information			19	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation
	grantNumberValue	Grant Number	The grant or contract number of the project that  sponsored the effort.		text	20	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	grantNumber	citation
	grantNumberAgency	Grant Agency	Grant Number Agency		text	21	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	grantNumber	citation
	depositor	Depositor	Name of a person (or organization) who provided this Dataset to the archive originally storing the data.		text	22	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation
	dateOfDeposit	Deposit Date	Date that the Dataset was deposited into the repository.		date	23	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		citation
	relatedMaterial	Related Material	Any material related to this Dataset.		textbox	24	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation
	relatedDatasets	Related Datasets	Any Datasets that are relevant to this one, such as prior  research on this subject.		textbox	25	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation
	otherReferences	Other References	Any references that would serve as background or  supporting material to this Dataset.		text	26	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation
	dataSources	Data Sources	List of books, articles, serials, or machine-readable  data files, if any, that served as the sources of the data  collection.		text	27	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation
#controlledVocabulary	DatasetField	Value	displayOrder											
	subject	Government / Political Science	0											
	subject	Astronomy / Astrophysics	1											
	subject	Economics / Business	2											
	subject	Architecture / Design	3											
	subject	Agriculture	4											
	subject	History	5											
	subject	Psychology	6											
	subject	Sociology	7											
	subject	Health Sciences	8											
	subject	Medical Sciences	9											
	subject	Biology	10											
	subject	Education	11											
	subject	Geography	12											
	subject	Physics	13											
	subject	Engineering	14											
	subject	Humanities	15											
	subject	Non Categorized	16											
	publicationIDType	ark	0											
	publicationIDType	arXiv	1											
	publicationIDType	bibcode	2											
	publicationIDType	doi	3											
	publicationIDType	ean13	4											
	publicationIDType	eissn	5											
	publicationIDType	handle	6											
	publicationIDType	isbn	7											
	publicationIDType	issn	8											
	publicationIDType	istc	9											
	publicationIDType	lissn	10											
	publicationIDType	lsid	11											
	publicationIDType	pmid	12											
	publicationIDType	pmcid	13											
	publicationIDType	purl	14											
	publicationIDType	upc	15											
	publicationIDType	url	16											
	publicationIDType	urn	17											
	contributorType	Data Collector 	0											
	contributorType	Data Manager	1											
	contributorType	Distributor 	2											
	contributorType	Editor	3											
	contributorType	Funder	4											
	contributorType	Hosting Institution	5											
	contributorType	Producer	6											
	contributorType	Project Leader	7											
	contributorType	Project Manager	8											
	contributorType	Project Member	9											
	contributorType	Related Person	10											
	contributorType	Researcher	11											
	contributorType	Research Group	12											
	contributorType	Rights Holder	13											
	contributorType	Sponsor	14											
	contributorType	Supervisor	15											
	contributorType	Work Package Leader	16											
	contributorType	Other	17											
