	language	Polish	pol	127	pol	pl
	language	Pashto, Pushto	pus	128	pus	ps	Pashto	Pushto
	language	Portuguese	por	129	por	pt
	language	Quechua	que	130	que	qu
	language	Romansh	roh	131	roh	rm
	language	Kirundi	run	132	run	rn
	language	Romanian	ron	133	ron	rum	ro
	language	Russian	rus	134	rus	ru
	language	Sanskrit (Saṁskṛta)	san	135	san	sa
	language	Sardinian	srd	136	srd	sc
	language	Sindhi	snd	137	snd	sd
	language	Northern Sami	sme	138	sme	se
	language	Samoan	smo	139	smo	sm
	language	Sango	sag	140	sag	sg
	language	Serbian	srp	141	srp	scc	sr
	language	Scottish Gaelic, Gaelic	gla	142	gla	gd	Scottish Gaelic	Gaelic
	language	Shona	sna	143	sna	sn
	language	Sinhala, Sinhalese	sin	144	sin	si	Sinhala	Sinhalese
	language	Slovak	slk	145	slk	slo	sk
	language	Slovene	slv	146	slv	sl	Slovenian
	language	Somali	som	147	som	so
	language	Southern Sotho	sot	148	sot	st
	language	Spanish, Castilian	spa	149	spa	es	Spanish	Castilian
	language	Sundanese	sun	150	sun	su
	language	Swahili	swa	151	swa	sw
	language	Swati	ssw	152	ssw	ss
	language	Swedish	swe	153	swe	sv
	language	Tamil	tam	154	tam	ta
	language	Telugu	tel	155	tel	te
	language	Tajik	tgk	156	tgk	tg
	language	Thai	tha	157	tha	th
	language	Tigrinya	tir	158	tir	ti
	language	Tibetan Standard, Tibetan, Central	bod	159	bod	tib	bo	Tibetan Standard	Tibetan Central
	language	Turkmen	tuk	160	tuk	tk
	language	Tagalog	tgl	161	tgl	tl
	language	Tswana	tsn	162	tsn	tn
	language	Tonga (Tonga Islands)	ton	163	ton	to	Tonga
	language	Turkish	tur	164	tur	tr
	language	Tsonga	tso	165	tso	ts
	language	Tatar	tat	166	tat	tt
	language	Twi	twi	167	twi	tw
	language	Tahitian	tah	168	tah	ty
	language	Uyghur, Uighur	uig	169	uig	ug	Uyghur	Uighur
	language	Ukrainian	ukr	170	ukr	uk
	language	Urdu	urd	171	urd	ur
	language	Uzbek	uzb	172	uzb	uz
	language	Venda	ven	173	ven	ve
	language	Vietnamese	vie	174	vie	vi
	language	Volapük	vol	175	vol	vo
	language	Walloon	wln	176	wln	wa
	language	Welsh	cym	177	cym	wel	cy
	language	Wolof	wol	178	wol	wo
	language	Western Frisian	fry	179	fry	fy
	language	Xhosa	xho	180	xho	xh
	language	Yiddish	yid	181	yid	yi
	language	Yoruba	yor	182	yor	yo
	language	Zhuang, Chuang	zha	183	zha	za	Zhuang	Chuang
	language	Zulu	zul	184	zul	zu
	language	Not applicable		185											
