,,Dataverse 4.0
Project TIER,5DothesedatasetscontainsensitiveorpersonallyidentifiableprivateinformationHarvardResearchDataSecurityPolicywwwsecurityharvardeduresearchdatasecuritypolicymayapplybecausethisDataverseishostedbyHarvardUniversity,ARCS5
GSD Studio Template,Accreditation,gsdAccreditation
GSD Studio Template,City,city
GSD Studio Template,CoreStudioCoordinator,gsdCoordinator
GSD Studio Template,CountryNation,country
GSD Studio Template,CourseName,gsdCourseName
GSD Studio Template,DataUploadedBy,depositor
GSD Studio Template,FacultyName,gsdFacultyName
GSD Studio Template,FacultyRecommendation,gsdRecommendation
GSD Studio Template,Notes,notesText
GSD Studio Template,ProgramBrief,gsdProgramBrief
GSD Studio Template,SemesterYear,gsdSemester
GSD Studio Template,SiteType,gsdSiteType
GSD Studio Template,StateProvince,state
GSD Studio Template,StudentName,gsdStudentName
GSD Studio Template,StudentNameFirstName,#IGNORE
GSD Studio Template,StudentNameLastName,#IGNORE
GSD Studio Template,StudentsProgramofStudy,gsdStudentProgram
GSD Studio Template,Tags,gsdTags
GSD Studio Template,TypesofRepresentationMediumFormat,gsdTypes
GSD Studio Template Fall 2013 - OLD_OLD_OLD,City,city
GSD Studio Template Fall 2013 - OLD_OLD_OLD,CoreStudioCoordinator,gsdCoordinator
GSD Studio Template Fall 2013 - OLD_OLD_OLD,CountryNation,country
GSD Studio Template Fall 2013 - OLD_OLD_OLD,CourseName,gsdCourseName
GSD Studio Template Fall 2013 - OLD_OLD_OLD,DataUploadedBy,depositor
GSD Studio Template Fall 2013 - OLD_OLD_OLD,FacultyName,gsdFacultyName
GSD Studio Template Fall 2013 - OLD_OLD_OLD,FacultyRecommendation,gsdRecommendation
GSD Studio Template Fall 2013 - OLD_OLD_OLD,Notes,notesText
GSD Studio Template Fall 2013 - OLD_OLD_OLD,ProgramBrief,gsdProgramBrief
GSD Studio Template Fall 2013 - OLD_OLD_OLD,SemesterYear,gsdSemester
GSD Studio Template Fall 2013 - OLD_OLD_OLD,SiteType,gsdSiteType
GSD Studio Template Fall 2013 - OLD_OLD_OLD,StateProvince,state
GSD Studio Template Fall 2013 - OLD_OLD_OLD,StudentName,gsdStudentName
GSD Studio Template Fall 2013 - OLD_OLD_OLD,StudentsProgramofStudy,gsdStudentProgram
GSD Studio Template Fall 2013 - OLD_OLD_OLD,Tags,gsdTags
GSD Studio Template Fall 2013 - OLD_OLD_OLD,TypesofRepresentationMediumFormat,gsdTypes
GSD Research Fall 2013,City,city
GSD Research Fall 2013,CoreStudioCoordinator,gsdCoordinator
GSD Research Fall 2013,CountryNation,country
GSD Research Fall 2013,CourseName,gsdCourseName
GSD Research Fall 2013,DataUploadedBy,depositor
GSD Research Fall 2013,FacultyName,gsdFacultyName
GSD Research Fall 2013,FacultyRecommendation,gsdRecommendation
GSD Research Fall 2013,Notes,notesText
GSD Research Fall 2013,ProgramBrief,gsdProgramBrief
GSD Research Fall 2013,SemesterYear,gsdSemester
GSD Research Fall 2013,SiteType,gsdSiteType
GSD Research Fall 2013,StateProvince,state
GSD Research Fall 2013,StudentName,gsdStudentName
GSD Research Fall 2013,StudentsProgramofStudy,gsdStudentProgram
GSD Research Fall 2013,Tags,gsdTags
GSD Research Fall 2013,TypesofRepresentationMediumFormat,gsdTypes
GSD Studio Template Fall 2013-OLD_OLD,City,city
GSD Studio Template Fall 2013-OLD_OLD,CoreStudioCoordinator,gsdCoordinator
GSD Studio Template Fall 2013-OLD_OLD,CountryNation,country
GSD Studio Template Fall 2013-OLD_OLD,CourseName,gsdCourseName
GSD Studio Template Fall 2013-OLD_OLD,DataUploadedBy,depositor
GSD Studio Template Fall 2013-OLD_OLD,FacultyName,gsdFacultyName
GSD Studio Template Fall 2013-OLD_OLD,FacultyRecommendation,gsdRecommendation
GSD Studio Template Fall 2013-OLD_OLD,Notes,notesText
GSD Studio Template Fall 2013-OLD_OLD,ProgramBrief,gsdProgramBrief
GSD Studio Template Fall 2013-OLD_OLD,SemesterYear,gsdSemester
GSD Studio Template Fall 2013-OLD_OLD,SiteType,gsdSiteType
GSD Studio Template Fall 2013-OLD_OLD,StateProvince,state
GSD Studio Template Fall 2013-OLD_OLD,StudentName,gsdStudentName
GSD Studio Template Fall 2013-OLD_OLD,StudentNameFirstName,#IGNORE
GSD Studio Template Fall 2013-OLD_OLD,StudentNameLastName,#IGNORE
GSD Studio Template Fall 2013-OLD_OLD,StudentsProgramofStudy,gsdStudentProgram
GSD Studio Template Fall 2013-OLD_OLD,Tags,gsdTags
GSD Studio Template Fall 2013-OLD_OLD,TypesofRepresentationMediumFormat,gsdTypes
GSD Studio Template Fall 2013_OLD,City,city
GSD Studio Template Fall 2013_OLD,CoreStudioCoordinator,gsdCoordinator
GSD Studio Template Fall 2013_OLD,CountryNation,country
GSD Studio Template Fall 2013_OLD,CourseName,gsdCourseName
GSD Studio Template Fall 2013_OLD,DataUploadedBy,depositor
GSD Studio Template Fall 2013_OLD,FacultyName,gsdFacultyName
GSD Studio Template Fall 2013_OLD,FacultyRecommendation,gsdRecommendation
GSD Studio Template Fall 2013_OLD,Notes,notesText
GSD Studio Template Fall 2013_OLD,ProgramBrief,gsdProgramBrief
GSD Studio Template Fall 2013_OLD,SemesterYear,gsdSemester
GSD Studio Template Fall 2013_OLD,SiteType,gsdSiteType
GSD Studio Template Fall 2013_OLD,StateProvince,state
GSD Studio Template Fall 2013_OLD,StudentName,gsdStudentName
GSD Studio Template Fall 2013_OLD,StudentNameFirstName,#IGNORE
GSD Studio Template Fall 2013_OLD,StudentNameLastName,#IGNORE
GSD Studio Template Fall 2013_OLD,StudentsProgramofStudy,gsdStudentProgram
GSD Studio Template Fall 2013_OLD,Tags,gsdTags
GSD Studio Template Fall 2013_OLD,TypesofRepresentationMediumFormat,gsdTypes
Syllabus Template,City,city
Syllabus Template,CoreStudioCoordinator,gsdCoordinator
Syllabus Template,CountryNation,country
Syllabus Template,CourseName,gsdCourseName
Syllabus Template,DataUploadedBy,depositor
Syllabus Template,FacultyName,gsdFacultyName
Syllabus Template,FacultyRecommendation,gsdRecommendation
Syllabus Template,Notes,notesText
Syllabus Template,ProgramBrief,gsdProgramBrief
Syllabus Template,SemesterYear,gsdSemester
Syllabus Template,SiteType,gsdSiteType
Syllabus Template,StateProvince,state
Syllabus Template,StudentName,gsdStudentName
Syllabus Template,StudentNameFirstName,#IGNORE
Syllabus Template,StudentNameLastName,#IGNORE
Syllabus Template,StudentsProgramofStudy,gsdStudentProgram
Syllabus Template,Tags,gsdTags
Syllabus Template,TypesofRepresentationMediumFormat,gsdTypes
GSD Studio Template Fall 2013_OLD_Dec12,Accreditation,gsdAccreditation
GSD Studio Template Fall 2013_OLD_Dec12,City,city
GSD Studio Template Fall 2013_OLD_Dec12,CoreStudioCoordinator,gsdCoordinator
GSD Studio Template Fall 2013_OLD_Dec12,CountryNation,country
GSD Studio Template Fall 2013_OLD_Dec12,CourseName,gsdCourseName
GSD Studio Template Fall 2013_OLD_Dec12,DataUploadedBy,depositor
GSD Studio Template Fall 2013_OLD_Dec12,FacultyName,gsdFacultyName
GSD Studio Template Fall 2013_OLD_Dec12,FacultyRecommendation,gsdRecommendation
GSD Studio Template Fall 2013_OLD_Dec12,Notes,notesText
GSD Studio Template Fall 2013_OLD_Dec12,ProgramBrief,gsdProgramBrief
GSD Studio Template Fall 2013_OLD_Dec12,SemesterYear,gsdSemester
GSD Studio Template Fall 2013_OLD_Dec12,SiteType,gsdSiteType
GSD Studio Template Fall 2013_OLD_Dec12,StateProvince,state
GSD Studio Template Fall 2013_OLD_Dec12,StudentName,gsdStudentName
GSD Studio Template Fall 2013_OLD_Dec12,StudentNameFirstName,#IGNORE
GSD Studio Template Fall 2013_OLD_Dec12,StudentNameLastName,#IGNORE
GSD Studio Template Fall 2013_OLD_Dec12,StudentsProgramofStudy,gsdStudentProgram
GSD Studio Template Fall 2013_OLD_Dec12,Tags,gsdTags
GSD Studio Template Fall 2013_OLD_Dec12,TypesofRepresentationMediumFormat,gsdTypes
GSD Studio Template Fall 2013,Accreditation,gsdAccreditation
GSD Studio Template Fall 2013,City,city
GSD Studio Template Fall 2013,CoreStudioCoordinator,gsdCoordinator
GSD Studio Template Fall 2013,CountryNation,country
GSD Studio Template Fall 2013,CourseName,gsdCourseName
GSD Studio Template Fall 2013,DataUploadedBy,depositor
GSD Studio Template Fall 2013,FacultyName,gsdFacultyName
GSD Studio Template Fall 2013,FacultyRecommendation,gsdRecommendation
GSD Studio Template Fall 2013,Notes,notesText
GSD Studio Template Fall 2013,ProgramBrief,gsdProgramBrief
GSD Studio Template Fall 2013,SemesterYear,gsdSemester
GSD Studio Template Fall 2013,SiteType,gsdSiteType
GSD Studio Template Fall 2013,StateProvince,state
GSD Studio Template Fall 2013,StudentName,gsdStudentName
GSD Studio Template Fall 2013,StudentNameFirstName,#IGNORE
GSD Studio Template Fall 2013,StudentNameLastName,#IGNORE
GSD Studio Template Fall 2013,StudentsProgramofStudy,gsdStudentProgram
GSD Studio Template Fall 2013,Tags,gsdTags
GSD Studio Template Fall 2013,TypesofRepresentationMediumFormat,gsdTypes
GSSP Student Data,Accreditation,gsdAccreditation
GSSP Student Data,City,city
GSSP Student Data,CoreStudioCoordinator,gsdCoordinator
GSSP Student Data,CountryNation,country
GSSP Student Data,CourseName,gsdCourseName
GSSP Student Data,DataUploadedBy,depositor
GSSP Student Data,FacultyName,gsdFacultyName
GSSP Student Data,FacultyRecommendation,gsdRecommendation
GSSP Student Data,Notes,notesText
GSSP Student Data,ProgramBrief,gsdProgramBrief
GSSP Student Data,SemesterYear,gsdSemester
GSSP Student Data,SiteType,gsdSiteType
GSSP Student Data,StateProvince,state
GSSP Student Data,StudentName,gsdStudentName
GSSP Student Data,StudentNameFirstName,#IGNORE
GSSP Student Data,StudentNameLastName,#IGNORE
GSSP Student Data,StudentsProgramofStudy,gsdStudentProgram
GSSP Student Data,Tags,gsdTags
GSSP Student Data,TypesofRepresentationMediumFormat,gsdTypes
Student Data,Accreditation,gsdAccreditation
Student Data,City,city
Student Data,CoreStudioCoordinator,gsdCoordinator
Student Data,CountryNation,country
Student Data,CourseName,gsdCourseName
Student Data,DataUploadedBy,depositor
Student Data,FacultyName,gsdFacultyName
Student Data,FacultyRecommendation,gsdRecommendation
Student Data,Notes,notesText
Student Data,ProgramBrief,gsdProgramBrief
Student Data,SemesterYear,gsdSemester
Student Data,SiteType,gsdSiteType
Student Data,StateProvince,state
Student Data,StudentName,gsdStudentName
Student Data,StudentNameFirstName,#IGNORE
Student Data,StudentNameLastName,#IGNORE
Student Data,StudentsProgramofStudy,gsdStudentProgram
Student Data,Tags,gsdTags
Student Data,TypesofRepresentationMediumFormat,gsdTypes
Political Science Replication Initiative Draft Template,Aretheoriginaldatapubliclyavailable,PSRI1
Political Science Replication Initiative Draft Template,Didanotherstudentattempttoreplicatethereplicationintheclass,PSRI9
Political Science Replication Initiative Draft Template,Didanotherstudentreplicatethisreplicationsuccessfully,PSRI10
Political Science Replication Initiative Draft Template,Didaprofessorreadreviewadraftbeforethefinalversion,PSRI11
Political Science Replication Initiative Draft Template,DidyousendthereplicationmaterialstotheoriginalauthorsandnotifythemthatyoudbepostingyourreplicationonPSRI,PSRI7
Political Science Replication Initiative Draft Template,Istheoriginalcodeavailable,PSRI2
Political Science Replication Initiative Draft Template,WasthereplicationdoneinacourseIfsopleasecontinuetoanswerthesubsequentquestionsandifnotselectNA,PSRI8
Political Science Replication Initiative Draft Template,Wherearetheoriginaldataarchivednameandurl,PSRI3
Political Science Replication Initiative Draft Template,Whereistheoriginalcodepubliclyarchivednameandurl,PSRI4
Political Science Replication Initiative Draft Template,WillyousubmityourreplicationcodetothisDataverseThisisaPSRIrequirement,PSRI5
Political Science Replication Initiative Draft Template,WillyousubmityourreplicationwriteuptothisDataverseThisisaPSRIrequirement,PSRI6
PSRI dataverse,Aretheoriginaldatapubliclyavailable,PSRI1
PSRI dataverse,Didanotherstudentattempttoreplicatethereplication,PSRI9
PSRI dataverse,Didanotherstudentreplicatethisreplicationsuccessfully,PSRI10
PSRI dataverse,Didaprofessorreadreviewadraftbeforethefinalversion,PSRI11
PSRI dataverse,DidyousendthereplicationmaterialstotheoriginalauthorsandnotifythemthatyoudbepostingyourreplicationonPSRI,PSRI7
PSRI dataverse,Istheoriginalcodeavailable,PSRI2
PSRI dataverse,WasthereplicationdoneinacourseIfsopleasecontinuetoanswerthesubsequentquestionsandifnotselectNA,PSRI8
PSRI dataverse,Wherearetheoriginaldataarchivednameandurl,PSRI3
PSRI dataverse,Whereistheoriginalcodepubliclyarchivednameandurl,PSRI4
PSRI dataverse,WillyousubmityourreplicationcodetothisDataverseThisisaPSRIrequirement,PSRI5
PSRI dataverse,WillyousubmityourreplicationwriteuptothisDataverseThisisaPSRIrequirement,PSRI6
GSD 2013 2014,Accreditation,gsdAccreditation
GSD 2013 2014,City,city
GSD 2013 2014,CoreStudioCoordinator,gsdCoordinator
GSD 2013 2014,CountryNation,country
GSD 2013 2014,CourseName,gsdCourseName
GSD 2013 2014,DataUploadedBy,depositor
GSD 2013 2014,FacultyName,gsdFacultyName
GSD 2013 2014,FacultyRecommendation,gsdRecommendation
GSD 2013 2014,Notes,notesText
GSD 2013 2014,ProgramBrief,gsdProgramBrief
GSD 2013 2014,SemesterYear,gsdSemester
GSD 2013 2014,SiteType,gsdSiteType
GSD 2013 2014,StateProvince,state
GSD 2013 2014,StudentName,gsdStudentName
GSD 2013 2014,StudentNameFirstName,#IGNORE
GSD 2013 2014,StudentNameLastName,#IGNORE
GSD 2013 2014,StudentsProgramofStudy,gsdStudentProgram
GSD 2013 2014,Tags,gsdTags
GSD 2013 2014,TypesofRepresentationMediumFormat,gsdTypes
Muthyamfirst,1Wereanyofthesedatasetsapurchasedbobtainedthroughlicenseddatabasesorcprovidedbyanorganizationunderanondisclosureorotheragreement,ARCS1
Muthyamfirst,2IfyourespondedYestoQ1haveyouensuredthatsharingthedatadoesnotviolatetermsoftheagreementIfyourespondedNotoQ1pleaseenterNAhere,ARCS2
Muthyamfirst,3DoanyofthesedatasetsincludeindividualleveldataeithercollectedorpreexistinginthedatasetthatmightmakethemsubjecttoUSorinternationalhumansubjectsconsiderations,ARCS3
Muthyamfirst,4IfyourespondedYestoQ3arethesedatasetstotallydeidentifiedorwassharingapprovedbyyourinstitutionalreviewboardIRBIfyourespondedNotoQ3pleaseenterNAhere,ARCS4
Muthyamfirst,5DothesedatasetscontainsensitiveorpersonallyidentifiableprivateinformationHarvardResearchDataSecurityPolicywwwsecurityharvardeduresearchdatasecuritypolicymayapplybecausethisDataverseishostedbyHarvardUniversity,ARCS5
PSRI Dataverse Template v2,Aretheoriginaldatapubliclyavailable,PSRI1
PSRI Dataverse Template v2,Didanotherstudentattempttoreplicatethereplicationintheclass,PSRI9
PSRI Dataverse Template v2,Didanotherstudentreplicatethisreplicationsuccessfully,PSRI10
PSRI Dataverse Template v2,Didaprofessorreadreviewadraftbeforethefinalversion,PSRI11
PSRI Dataverse Template v2,DidyousendthereplicationmaterialstotheoriginalauthorsandnotifythemthatyoudbepostingyourreplicationonPSRI,PSRI7
PSRI Dataverse Template v2,Istheoriginalcodeavailable,PSRI2
PSRI Dataverse Template v2,WasthereplicationdoneinacourseIfsopleasecontinuetoanswerthesubsequentquestionsandifnotselectNA,PSRI8
PSRI Dataverse Template v2,Wherearetheoriginaldataarchivednameandurl,PSRI3
PSRI Dataverse Template v2,Whereistheoriginalcodepubliclyarchivednameandurl,PSRI4
PSRI Dataverse Template v2,WillyousubmityourreplicationcodetothisDataverseThisisaPSRIrequirement,PSRI5
PSRI Dataverse Template v2,WillyousubmityourreplicationwriteuptothisDataverseThisisaPSRIrequirement,PSRI6
Local Monograph Template,Aretheoriginaldatapubliclyavailable,PSRI1
Local Monograph Template,Didanotherstudentattempttoreplicatethereplicationintheclass,PSRI9
Local Monograph Template,Didanotherstudentreplicatethisreplicationsuccessfully,PSRI10
Local Monograph Template,Didaprofessorreadreviewadraftbeforethefinalversion,PSRI11
Local Monograph Template,DidyousendthereplicationmaterialstotheoriginalauthorsandnotifythemthatyoudbepostingyourreplicationonPSRI,PSRI7
Local Monograph Template,Istheoriginalcodeavailable,PSRI2
Local Monograph Template,WasthereplicationdoneinacourseIfsopleasecontinuetoanswerthesubsequentquestionsandifnotselectNA,PSRI8
Local Monograph Template,Wherearetheoriginaldataarchivednameandurl,PSRI3
Local Monograph Template,Whereistheoriginalcodepubliclyarchivednameandurl,PSRI4
Local Monograph Template,WillyousubmityourreplicationcodetothisDataverseThisisaPSRIrequirement,PSRI5
Local Monograph Template,WillyousubmityourreplicationwriteuptothisDataverseThisisaPSRIrequirement,PSRI6
Journal of Human Rights (JHR),Aretheoriginaldatapubliclyavailable,PSRI1
Journal of Human Rights (JHR),Didanotherstudentattempttoreplicatethereplicationintheclass,PSRI9
Journal of Human Rights (JHR),Didanotherstudentreplicatethisreplicationsuccessfully,PSRI10
Journal of Human Rights (JHR),Didaprofessorreadreviewadraftbeforethefinalversion,PSRI11
Journal of Human Rights (JHR),DidyousendthereplicationmaterialstotheoriginalauthorsandnotifythemthatyoudbepostingyourreplicationonPSRI,PSRI7
Journal of Human Rights (JHR),Istheoriginalcodeavailable,PSRI2
Journal of Human Rights (JHR),WasthereplicationdoneinacourseIfsopleasecontinuetoanswerthesubsequentquestionsandifnotselectNA,PSRI8
Journal of Human Rights (JHR),Wherearetheoriginaldataarchivednameandurl,PSRI3
Journal of Human Rights (JHR),Whereistheoriginalcodepubliclyarchivednameandurl,PSRI4
Journal of Human Rights (JHR),WillyousubmityourreplicationcodetothisDataverseThisisaPSRIrequirement,PSRI5
Journal of Human Rights (JHR),WillyousubmityourreplicationwriteuptothisDataverseThisisaPSRIrequirement,PSRI6
GSD Fall 2014,Accreditation,gsdAccreditation
GSD Fall 2014,City,city
GSD Fall 2014,CoreStudioCoordinator,gsdCoordinator
GSD Fall 2014,CountryNation,country
GSD Fall 2014,CourseName,gsdCourseName
GSD Fall 2014,DataUploadedBy,depositor
GSD Fall 2014,FacultyName,gsdFacultyName
GSD Fall 2014,FacultyRecommendation,gsdRecommendation
GSD Fall 2014,Notes,notesText
GSD Fall 2014,ProgramBrief,gsdProgramBrief
GSD Fall 2014,SemesterYear,gsdSemester
GSD Fall 2014,SiteType,gsdSiteType
GSD Fall 2014,StateProvince,state
GSD Fall 2014,StudentName,gsdStudentName
GSD Fall 2014,StudentNameFirstName,#IGNORE
GSD Fall 2014,StudentNameLastName,#IGNORE
GSD Fall 2014,StudentsProgramofStudy,gsdStudentProgram
GSD Fall 2014,Tags,gsdTags
GSD Fall 2014,TypesofRepresentationMediumFormat,gsdTypes
GSD_Fall2014_Platform,Accreditation,gsdAccreditation
GSD_Fall2014_Platform,City,city
GSD_Fall2014_Platform,CoreStudioCoordinator,gsdCoordinator
GSD_Fall2014_Platform,CountryNation,country
GSD_Fall2014_Platform,CourseName,gsdCourseName
GSD_Fall2014_Platform,DataUploadedBy,depositor
GSD_Fall2014_Platform,FacultyName,gsdFacultyName
GSD_Fall2014_Platform,FacultyRecommendation,gsdRecommendation
GSD_Fall2014_Platform,Notes,notesText
GSD_Fall2014_Platform,ProgramBrief,gsdProgramBrief
GSD_Fall2014_Platform,SemesterYear,gsdSemester
GSD_Fall2014_Platform,SiteType,gsdSiteType
GSD_Fall2014_Platform,StateProvince,state
GSD_Fall2014_Platform,StudentName,gsdStudentName
GSD_Fall2014_Platform,StudentNameFirstName,#IGNORE
GSD_Fall2014_Platform,StudentNameLastName,#IGNORE
GSD_Fall2014_Platform,StudentsProgramofStudy,gsdStudentProgram
GSD_Fall2014_Platform,Tags,gsdTags
GSD_Fall2014_Platform,TypesofRepresentationMediumFormat,gsdTypes
Digaai Dataverse Jornais e Revistas,DatadePublicao,datadePublicao
Digaai Dataverse Jornais e Revistas,LocaldePublicao,localdePublicao
Digaai Dataverse Jornais e Revistas,Nmero,numero
Digaai Dataverse Jornais e Revistas,Proprietrio,proprietrio
Digaai Dataverse Jornais e Revistas,Ttulo,titulo
FaceBrasil,DatadePublicao,datadePublicao
FaceBrasil,LocaldePublicao,localdePublicao
FaceBrasil,Nmero,numero
FaceBrasil,Proprietrio,proprietrio
FaceBrasil,Ttulo,titulo
FaceBrasil 32,DatadePublicao,datadePublicao
FaceBrasil 32,LocaldePublicao,localdePublicao
FaceBrasil 32,Nmero,numero
FaceBrasil 32,Proprietrio,proprietrio
FaceBrasil 32,Ttulo,titulo
CHIA World Historical Default Template,ClassificationSchema,classificationSchemaCHIA
CHIA World Historical Default Template,Contributor,contributorName
CHIA World Historical Default Template,DatesAdditionalInformation,datesAdditionalInformationCHIA
CHIA World Historical Default Template,GeographicCoverageAdditionalInformation,otherGeographicCoverage
CHIA World Historical Default Template,Language,language
CHIA World Historical Default Template,Provenance,provenanceCHIA
CHIA World Historical Default Template,RightsAvailability,rightsAvailabilityCHIA
CHIA World Historical Default Template,Source,sourceCHIA
CHIA World Historical Default Template,Variables,variablesCHIA
Italian Political Science Review,Aretheoriginaldatapubliclyavailable,PSRI1
Italian Political Science Review,Didanotherstudentattempttoreplicatethereplicationintheclass,PSRI9
Italian Political Science Review,Didanotherstudentreplicatethisreplicationsuccessfully,PSRI10
Italian Political Science Review,Didaprofessorreadreviewadraftbeforethefinalversion,PSRI11
Italian Political Science Review,DidyousendthereplicationmaterialstotheoriginalauthorsandnotifythemthatyoudbepostingyourreplicationonPSRI,PSRI7
Italian Political Science Review,Istheoriginalcodeavailable,PSRI2
Italian Political Science Review,WasthereplicationdoneinacourseIfsopleasecontinuetoanswerthesubsequentquestionsandifnotselectNA,PSRI8
Italian Political Science Review,Wherearetheoriginaldataarchivednameandurl,PSRI3
Italian Political Science Review,Whereistheoriginalcodepubliclyarchivednameandurl,PSRI4
Italian Political Science Review,WillyousubmityourreplicationcodetothisDataverseThisisaPSRIrequirement,PSRI5
Italian Political Science Review,WillyousubmityourreplicationwriteuptothisDataverseThisisaPSRIrequirement,PSRI6
